"status","ctime","rtime","uptime","memoria","cpu","tacc","tkb"
1,45:08,43:05,7323,0.8%,0.0%,135098,114283
1,45:09,43:05,7324,0.8%,6.8%,136036,115075
1,45:11,43:05,7326,0.8%,23.0%,137600,116395
1,45:12,43:05,7327,0.8%,22.5%,138591,117232
1,45:13,43:05,7328,0.8%,22.4%,139539,118034
1,45:14,43:05,7329,0.8%,20.9%,140540,118879
1,45:15,43:05,7330,0.8%,22.5%,141513,119704
1,45:16,43:05,7331,0.8%,22.4%,142462,120508
1,45:18,43:05,7332,0.8%,21.4%,143435,121331
1,45:19,43:05,7333,0.8%,22.4%,144415,122161
1,45:20,43:05,7334,0.8%,22.4%,145370,122970
1,45:21,43:05,7336,0.8%,21.9%,146400,123842
1,45:22,43:05,7337,0.8%,23.8%,147412,124697
1,45:23,43:05,7338,0.8%,21.4%,148326,125471
1,45:24,43:05,7339,0.8%,22.4%,149321,126312
1,45:25,43:05,7340,0.8%,23.5%,150375,127204
1,45:26,43:05,7341,0.8%,20.4%,151353,128032
1,45:28,43:05,7342,0.8%,21.1%,152385,128904
1,45:29,43:05,7343,0.8%,21.9%,153366,129733
1,45:30,43:05,7344,0.8%,22.5%,154387,130596
1,45:31,43:05,7346,0.8%,23.3%,155390,131445
1,45:32,43:05,7347,0.8%,22.8%,156482,132370
1,45:33,43:05,7348,0.8%,24.3%,157514,133242
1,45:34,43:05,7349,0.8%,22.1%,158529,134104
1,45:35,43:05,7350,0.8%,23.3%,159525,134945
1,45:36,43:05,7351,0.8%,22.4%,160532,135797
1,45:37,43:05,7352,0.8%,22.7%,161508,136625
1,45:38,43:05,7353,0.8%,22.5%,162496,137461
1,45:39,43:05,7354,0.8%,22.5%,163481,138296
1,45:41,43:05,7355,0.8%,21.9%,164505,139159
1,45:42,43:05,7356,0.8%,22.5%,165444,139954
1,45:43,43:05,7357,0.8%,21.9%,166409,140770
1,45:44,43:05,7359,0.8%,22.1%,167342,141558
1,45:45,43:05,7360,0.8%,22.1%,168357,142415
1,45:46,43:05,7361,0.8%,22.8%,169337,143243
1,45:47,43:05,7362,0.8%,20.9%,170314,144069
1,45:48,43:05,7363,0.8%,22.1%,171289,144894
