 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=1 ttl=62 time=0.330 ms
64 bytes from 192.168.42.65: icmp_seq=2 ttl=62 time=0.674 ms
64 bytes from 192.168.42.65: icmp_seq=3 ttl=62 time=0.298 ms
64 bytes from 192.168.42.65: icmp_seq=4 ttl=62 time=0.359 ms
64 bytes from 192.168.42.65: icmp_seq=5 ttl=62 time=0.236 ms
64 bytes from 192.168.42.65: icmp_seq=6 ttl=62 time=0.346 ms
64 bytes from 192.168.42.65: icmp_seq=7 ttl=62 time=0.230 ms
64 bytes from 192.168.42.65: icmp_seq=8 ttl=62 time=0.449 ms
64 bytes from 192.168.42.65: icmp_seq=9 ttl=62 time=0.359 ms
64 bytes from 192.168.42.65: icmp_seq=10 ttl=62 time=0.275 ms
64 bytes from 192.168.42.65: icmp_seq=11 ttl=62 time=0.511 ms
64 bytes from 192.168.42.65: icmp_seq=12 ttl=62 time=0.335 ms
64 bytes from 192.168.42.65: icmp_seq=13 ttl=62 time=0.385 ms
64 bytes from 192.168.42.65: icmp_seq=14 ttl=62 time=0.508 ms
64 bytes from 192.168.42.65: icmp_seq=15 ttl=62 time=0.289 ms
64 bytes from 192.168.42.65: icmp_seq=16 ttl=62 time=0.199 ms
64 bytes from 192.168.42.65: icmp_seq=17 ttl=62 time=0.218 ms
64 bytes from 192.168.42.65: icmp_seq=18 ttl=62 time=0.260 ms
64 bytes from 192.168.42.65: icmp_seq=19 ttl=62 time=0.297 ms
64 bytes from 192.168.42.65: icmp_seq=20 ttl=62 time=0.519 ms
64 bytes from 192.168.42.65: icmp_seq=21 ttl=62 time=0.276 ms
64 bytes from 192.168.42.65: icmp_seq=22 ttl=62 time=0.305 ms
64 bytes from 192.168.42.65: icmp_seq=23 ttl=62 time=0.535 ms
64 bytes from 192.168.42.65: icmp_seq=24 ttl=62 time=0.517 ms
64 bytes from 192.168.42.65: icmp_seq=25 ttl=62 time=0.470 ms
64 bytes from 192.168.42.65: icmp_seq=26 ttl=62 time=0.250 ms
64 bytes from 192.168.42.65: icmp_seq=27 ttl=62 time=0.650 ms
64 bytes from 192.168.42.65: icmp_seq=28 ttl=62 time=0.284 ms
64 bytes from 192.168.42.65: icmp_seq=29 ttl=62 time=0.345 ms
64 bytes from 192.168.42.65: icmp_seq=30 ttl=62 time=0.430 ms
64 bytes from 192.168.42.65: icmp_seq=31 ttl=62 time=0.462 ms
64 bytes from 192.168.42.65: icmp_seq=32 ttl=62 time=0.481 ms
64 bytes from 192.168.42.65: icmp_seq=33 ttl=62 time=0.215 ms
64 bytes from 192.168.42.65: icmp_seq=34 ttl=62 time=0.605 ms
64 bytes from 192.168.42.65: icmp_seq=35 ttl=62 time=0.249 ms
64 bytes from 192.168.42.65: icmp_seq=36 ttl=62 time=0.626 ms
64 bytes from 192.168.42.65: icmp_seq=37 ttl=62 time=0.224 ms
64 bytes from 192.168.42.65: icmp_seq=38 ttl=62 time=0.371 ms
64 bytes from 192.168.42.65: icmp_seq=39 ttl=62 time=0.179 ms
