
Memory		Disk		Swap		CPU
3.84%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
4.19%		18%		0.0248%		1.00%
4.24%		18%		0.0248%		1.00%
4.44%		18%		0.0248%		1.00%
4.74%		18%		0.0248%		1.00%
4.69%		18%		0.0248%		5.00%
4.69%		18%		0.0248%		5.00%
5.34%		18%		0.0248%		5.00%
5.04%		18%		0.0248%		5.00%
5.24%		18%		0.0248%		7.00%
5.24%		18%		0.0248%		7.00%
5.24%		18%		0.0248%		7.00%
5.34%		18%		0.0248%		11.00%
5.49%		18%		0.0248%		11.00%
5.29%		18%		0.0248%		11.00%
5.19%		18%		0.0248%		11.00%
5.24%		18%		0.0248%		10.00%
5.24%		18%		0.0248%		10.00%
5.54%		18%		0.0248%		10.00%
4.34%		18%		0.0248%		10.00%
4.34%		18%		0.0248%		9.00%
4.34%		18%		0.0248%		9.00%
4.34%		18%		0.0248%		9.00%
4.34%		18%		0.0248%		9.00%
4.34%		18%		0.0248%		9.00%
4.34%		18%		0.0248%		9.00%
4.34%		18%		0.0248%		9.00%
4.34%		18%		0.0248%		9.00%
4.34%		18%		0.0248%		9.00%
4.34%		18%		0.0248%		8.00%
4.34%		18%		0.0248%		8.00%
4.34%		18%		0.0248%		8.00%
4.34%		18%		0.0248%		8.00%
4.34%		18%		0.0248%		7.00%
4.34%		18%		0.0248%		7.00%
4.34%		18%		0.0248%		7.00%
4.34%		18%		0.0248%		7.00%
4.34%		18%		0.0248%		7.00%
4.34%		18%		0.0248%		7.00%
4.34%		18%		0.0248%		7.00%
4.34%		18%		0.0248%		7.00%
4.34%		18%		0.0248%		6.00%
4.34%		18%		0.0248%		6.00%
4.34%		18%		0.0248%		6.00%
4.34%		18%		0.0248%		6.00%
4.29%		18%		0.0248%		6.00%
4.34%		18%		0.0248%		6.00%
4.34%		18%		0.0248%		6.00%
4.34%		18%		0.0248%		6.00%
4.34%		18%		0.0248%		5.00%
4.34%		18%		0.0248%		5.00%
4.34%		18%		0.0248%		5.00%
4.34%		18%		0.0248%		5.00%
4.34%		18%		0.0248%		5.00%
4.34%		18%		0.0248%		5.00%
4.34%		18%		0.0248%		5.00%
4.34%		18%		0.0248%		5.00%
4.34%		18%		0.0248%		5.00%
4.34%		18%		0.0248%		4.00%
4.34%		18%		0.0248%		4.00%
4.34%		18%		0.0248%		4.00%
4.34%		18%		0.0248%		4.00%
4.34%		18%		0.0248%		4.00%
4.34%		18%		0.0248%		4.00%
4.34%		18%		0.0248%		4.00%
4.34%		18%		0.0248%		4.00%
4.34%		18%		0.0248%		3.00%
4.34%		18%		0.0248%		3.00%
4.34%		18%		0.0248%		3.00%
4.34%		18%		0.0248%		3.00%
4.29%		18%		0.0248%		3.00%
4.29%		18%		0.0248%		3.00%
4.29%		18%		0.0248%		3.00%
4.29%		18%		0.0248%		3.00%
4.29%		18%		0.0248%		3.00%
4.29%		18%		0.0248%		3.00%
4.29%		18%		0.0248%		3.00%
4.29%		18%		0.0248%		3.00%
4.29%		18%		0.0248%		3.00%
4.29%		18%		0.0248%		3.00%
4.29%		18%		0.0248%		3.00%
4.29%		18%		0.0248%		3.00%
4.29%		18%		0.0248%		3.00%
4.29%		18%		0.0248%		2.00%
