status,ctime,rtime,uptime,memoria,cpu,Total de acessos,KiloBytes,,5,,,5,
1,23:40,43:05,9635,"0,90%","0,00%","400.660,00","339.113,00",,memoria,"2,54%",,Total de acessos,"731.983,94"
1,23:42,43:05,9636,"0,90%","1,00%","401.086,00","339.475,00",,cpu,"46,61%",,KiloBytes,"619.422,59"
1,23:45,43:05,9639,"0,90%","68,10%","409.262,00","346.396,00",,,,,,
1,23:50,43:05,9645,"1,10%","74,90%","423.716,00","358.630,00",,,,,,
1,23:58,43:05,9653,"1,80%","78,20%","448.969,00","380.008,00",,,,,,
1,24:06,43:05,9661,"2,20%","72,80%","471.870,00","399.379,00",,,,,,
1,24:25,43:05,9680,"2,90%","46,70%","517.503,00","437.985,00",,,,,,
1,24:42,43:05,9697,"2,90%","44,30%","551.618,00","466.834,00",,,,,,
1,24:53,43:05,9708,"2,90%","49,60%","574.261,00","485.985,00",,,,,,
1,26:09,43:05,9784,"2,70%","30,40%","691.757,00","585.384,00",,,,,,
1,26:17,43:05,9792,"2,90%","62,70%","707.888,00","599.032,00",,,,,,
1,26:28,43:05,9803,"3,10%","63,60%","727.588,00","615.701,00",,,,,,
1,26:38,43:05,9813,"3,20%","48,30%","744.321,00","629.854,00",,,,,,
1,26:44,43:05,9819,"2,80%","45,70%","755.950,00","639.693,00",,,,,,
1,26:55,43:05,9830,"3,10%","42,10%","777.304,00","657.756,00",,,,,,
1,27:03,43:05,9838,"3,30%","62,20%","793.578,00","671.527,00",,,,,,
1,27:09,43:05,9844,"3,10%","37,10%","802.543,00","679.109,00",,,,,,
1,27:18,43:05,9853,"3,10%","57,40%","820.288,00","694.121,00",,,,,,
1,27:24,43:05,9859,"2,80%","44,20%","829.344,00","701.783,00",,,,,,
1,27:29,43:05,9864,"2,30%","41,80%","838.032,00","709.136,00",,,,,,
1,27:34,43:05,9869,"2,60%","30,20%","844.273,00","714.415,00",,,,,,
1,27:38,43:05,9873,"2,20%","35,00%","849.562,00","718.893,00",,,,,,
1,27:41,43:05,9876,"2,00%","42,80%","854.754,00","723.287,00",,,,,,
1,27:44,43:05,9879,"2,00%","38,10%","858.907,00","726.802,00",,,,,,
1,27:48,43:05,9883,"2,30%","37,90%","865.188,00","732.114,00",,,,,,
1,27:55,43:05,9890,"3,20%","57,90%","879.933,00","744.595,00",,,,,,
1,28:00,43:05,9895,"3,30%","60,80%","890.795,00","753.782,00",,,,,,
1,28:04,43:05,9899,"2,60%","47,70%","897.661,00","759.594,00",,,,,,
1,28:15,43:05,9909,"3,40%","60,70%","918.546,00","777.260,00",,,,,,
1,28:27,43:05,9922,"3,30%","54,40%","942.556,00","797.570,00",,,,,,
1,28:37,43:05,9932,"3,70%","53,00%","963.523,00","815.311,00",,,,,,
1,28:42,43:05,9937,"1,70%","2,00%","970.250,00","820.999,00",,,,,,
