"memory","disk","swap","cpu"
3.54%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.74%,13%,0.0248%,0.00%
3.74%,13%,0.0248%,0.00%
3.84%,13%,0.0248%,0.00%
3.99%,13%,0.0248%,0.00%
4.09%,13%,0.0248%,0.00%
4.09%,13%,0.0248%,0.00%
4.09%,13%,0.0248%,0.00%
4.24%,13%,0.0248%,0.00%
4.24%,13%,0.0248%,0.00%
4.29%,13%,0.0248%,0.00%
4.24%,13%,0.0248%,4.00%
4.39%,13%,0.0248%,4.00%
4.44%,13%,0.0248%,4.00%
4.29%,13%,0.0248%,4.00%
4.29%,13%,0.0248%,7.00%
4.54%,13%,0.0248%,7.00%
4.34%,13%,0.0248%,7.00%
4.74%,13%,0.0248%,7.00%
4.69%,13%,0.0248%,6.00%
4.84%,13%,0.0248%,6.00%
4.79%,13%,0.0248%,6.00%
4.84%,13%,0.0248%,6.00%
4.89%,13%,0.0248%,8.00%
4.54%,13%,0.0248%,8.00%
4.84%,13%,0.0248%,8.00%
4.94%,13%,0.0248%,8.00%
4.89%,13%,0.0248%,7.00%
4.89%,13%,0.0248%,7.00%
4.84%,13%,0.0248%,7.00%
4.94%,13%,0.0248%,7.00%
5.04%,13%,0.0248%,7.00%
4.79%,13%,0.0248%,7.00%
4.94%,13%,0.0248%,7.00%
4.99%,13%,0.0248%,7.00%
5.04%,13%,0.0248%,7.00%
5.04%,13%,0.0248%,7.00%
5.14%,13%,0.0248%,7.00%
5.09%,13%,0.0248%,7.00%
5.14%,13%,0.0248%,6.00%
5.14%,13%,0.0248%,6.00%
4.94%,13%,0.0248%,6.00%
4.94%,13%,0.0248%,6.00%
4.89%,13%,0.0248%,6.00%
4.94%,13%,0.0248%,6.00%
4.99%,13%,0.0248%,6.00%
4.99%,13%,0.0248%,6.00%
4.99%,13%,0.0248%,6.00%
4.94%,13%,0.0248%,6.00%
5.14%,13%,0.0248%,6.00%
4.94%,13%,0.0248%,6.00%
4.94%,13%,0.0248%,6.00%
4.89%,13%,0.0248%,6.00%
4.94%,13%,0.0248%,6.00%
4.94%,13%,0.0248%,6.00%
4.99%,13%,0.0248%,6.00%
4.84%,13%,0.0248%,6.00%
4.89%,13%,0.0248%,6.00%
5.04%,13%,0.0248%,6.00%
4.94%,13%,0.0248%,6.00%
4.79%,13%,0.0248%,6.00%
4.84%,13%,0.0248%,6.00%
4.74%,13%,0.0248%,6.00%
4.54%,13%,0.0248%,6.00%
4.34%,13%,0.0248%,6.00%
4.09%,13%,0.0248%,6.00%
4.04%,13%,0.0248%,6.00%
3.94%,13%,0.0248%,5.00%
3.94%,13%,0.0248%,5.00%
3.94%,13%,0.0248%,5.00%
3.89%,13%,0.0248%,5.00%
3.89%,13%,0.0248%,5.00%
3.84%,13%,0.0248%,5.00%
3.84%,13%,0.0248%,5.00%
3.84%,13%,0.0248%,5.00%
3.84%,13%,0.0248%,5.00%
3.74%,13%,0.0248%,5.00%
3.79%,13%,0.0248%,5.00%
3.74%,13%,0.0248%,5.00%
3.84%,13%,0.0248%,5.00%
3.79%,13%,0.0248%,5.00%
3.79%,13%,0.0248%,5.00%
3.79%,13%,0.0248%,5.00%
3.79%,13%,0.0248%,5.00%
3.74%,13%,0.0248%,4.00%
3.79%,13%,0.0248%,4.00%
3.79%,13%,0.0248%,4.00%
3.74%,13%,0.0248%,4.00%
3.74%,13%,0.0248%,4.00%
3.79%,13%,0.0248%,4.00%
3.84%,13%,0.0248%,4.00%
3.84%,13%,0.0248%,4.00%
3.84%,13%,0.0248%,4.00%
3.84%,13%,0.0248%,4.00%
3.84%,13%,0.0248%,4.00%
3.84%,13%,0.0248%,4.00%
3.84%,13%,0.0248%,4.00%
3.84%,13%,0.0248%,4.00%
3.94%,13%,0.0248%,4.00%
4.04%,13%,0.0248%,4.00%
4.24%,13%,0.0248%,4.00%
4.44%,13%,0.0248%,4.00%
4.59%,13%,0.0248%,4.00%
4.64%,13%,0.0248%,4.00%
4.54%,13%,0.0248%,5.00%
4.59%,13%,0.0248%,5.00%
4.69%,13%,0.0248%,5.00%
4.79%,13%,0.0248%,5.00%
4.89%,13%,0.0248%,5.00%
5.04%,13%,0.0248%,5.00%
4.94%,13%,0.0248%,5.00%
5.04%,13%,0.0248%,5.00%
4.99%,13%,0.0248%,5.00%
5.09%,13%,0.0248%,5.00%
5.09%,13%,0.0248%,5.00%
4.89%,13%,0.0248%,5.00%
5.14%,13%,0.0248%,6.00%
4.99%,13%,0.0248%,6.00%
4.94%,13%,0.0248%,6.00%
4.79%,13%,0.0248%,6.00%
4.89%,13%,0.0248%,7.00%
4.99%,13%,0.0248%,7.00%
4.79%,13%,0.0248%,7.00%
5.09%,13%,0.0248%,7.00%
5.19%,13%,0.0248%,7.00%
5.44%,13%,0.0248%,7.00%
5.14%,13%,0.0248%,7.00%
5.04%,13%,0.0248%,7.00%
4.94%,13%,0.0248%,7.00%
5.49%,13%,0.0248%,7.00%
5.24%,13%,0.0248%,7.00%
4.94%,13%,0.0248%,7.00%
5.34%,13%,0.0248%,7.00%
5.34%,13%,0.0248%,7.00%
5.04%,13%,0.0248%,7.00%
5.44%,13%,0.0248%,7.00%
5.04%,13%,0.0248%,7.00%
5.24%,13%,0.0248%,7.00%
5.34%,13%,0.0248%,7.00%
5.44%,13%,0.0248%,7.00%
5.09%,13%,0.0248%,7.00%
4.94%,13%,0.0248%,7.00%
4.94%,13%,0.0248%,7.00%
5.29%,13%,0.0248%,7.00%
4.94%,13%,0.0248%,7.00%
5.29%,13%,0.0248%,7.00%
4.94%,13%,0.0248%,7.00%
5.09%,13%,0.0248%,7.00%
5.14%,13%,0.0248%,7.00%
5.09%,13%,0.0248%,6.00%
4.99%,13%,0.0248%,6.00%
4.99%,13%,0.0248%,6.00%
5.09%,13%,0.0248%,6.00%
5.24%,13%,0.0248%,6.00%
5.14%,13%,0.0248%,6.00%
5.19%,13%,0.0248%,6.00%
5.34%,13%,0.0248%,6.00%
5.29%,13%,0.0248%,6.00%
5.49%,13%,0.0248%,6.00%
4.94%,13%,0.0248%,6.00%
5.44%,13%,0.0248%,6.00%
5.54%,13%,0.0248%,6.00%
5.59%,13%,0.0248%,6.00%
5.64%,13%,0.0248%,6.00%
5.49%,13%,0.0248%,6.00%
5.29%,13%,0.0248%,5.00%
5.14%,13%,0.0248%,5.00%
5.19%,13%,0.0248%,5.00%
5.34%,13%,0.0248%,5.00%
5.19%,13%,0.0248%,5.00%
5.39%,13%,0.0248%,5.00%
5.34%,13%,0.0248%,5.00%
5.29%,13%,0.0248%,5.00%
5.19%,13%,0.0248%,5.00%
4.99%,13%,0.0248%,5.00%
4.94%,13%,0.0248%,5.00%
5.04%,13%,0.0248%,5.00%
4.99%,13%,0.0248%,4.00%
4.89%,13%,0.0248%,4.00%
5.09%,14%,0.0248%,4.00%
5.04%,14%,0.0248%,4.00%
4.89%,14%,0.0248%,5.00%
4.79%,14%,0.0248%,5.00%
4.79%,14%,0.0248%,5.00%
4.89%,14%,0.0248%,5.00%
4.79%,14%,0.0248%,4.00%
4.84%,14%,0.0248%,4.00%
4.74%,14%,0.0248%,4.00%
4.74%,14%,0.0248%,4.00%
4.69%,14%,0.0248%,4.00%
4.64%,14%,0.0248%,4.00%
4.64%,14%,0.0248%,4.00%
4.69%,14%,0.0248%,4.00%
4.64%,14%,0.0248%,4.00%
4.59%,14%,0.0248%,4.00%
4.64%,14%,0.0248%,4.00%
4.74%,14%,0.0248%,4.00%
4.69%,14%,0.0248%,4.00%
4.69%,14%,0.0248%,4.00%
4.84%,14%,0.0248%,4.00%
5.04%,14%,0.0248%,4.00%
5.19%,14%,0.0248%,4.00%
5.29%,14%,0.0248%,4.00%
5.24%,14%,0.0248%,4.00%
5.29%,14%,0.0248%,4.00%
5.39%,14%,0.0248%,4.00%
5.49%,14%,0.0248%,4.00%
5.34%,14%,0.0248%,4.00%
5.24%,14%,0.0248%,4.00%
4.99%,14%,0.0248%,4.00%
4.99%,14%,0.0248%,4.00%
5.09%,14%,0.0248%,4.00%
5.19%,14%,0.0248%,4.00%
5.44%,14%,0.0248%,4.00%
5.44%,14%,0.0248%,4.00%
5.49%,14%,0.0248%,4.00%
5.54%,14%,0.0248%,4.00%
5.49%,14%,0.0248%,4.00%
5.54%,14%,0.0248%,4.00%
5.59%,14%,0.0248%,4.00%
5.64%,14%,0.0248%,4.00%
5.49%,14%,0.0248%,4.00%
5.59%,14%,0.0248%,4.00%
5.54%,14%,0.0248%,4.00%
5.59%,14%,0.0248%,4.00%
5.54%,14%,0.0248%,4.00%
5.39%,14%,0.0248%,4.00%
5.69%,14%,0.0248%,4.00%
5.64%,14%,0.0248%,4.00%
5.64%,14%,0.0248%,4.00%
5.79%,14%,0.0248%,4.00%
