status,ctime,rtime,uptime,memoria,cpu,tacc,tkb
1,16:10,43:05,5585,0.0%,33m,1264,1115
1,16:12,43:05,5587,0.0%,33m,1267,1118
1,16:14,43:05,5589,0.0%,33m,1269,1120
1,16:16,43:05,5590,0.0%,33m,1272,1122
1,16:17,43:05,5592,0.0%,33m,1274,1124
1,16:19,43:05,5594,0.0%,33m,1277,1126
1,16:21,43:05,5596,0.0%,33m,1279,1128
1,16:23,43:05,5597,0.5%,33m,1282,1130
1,16:25,43:05,5599,0.0%,33m,1284,1132
1,16:26,43:05,5601,0.0%,33m,1287,1135
1,16:28,43:05,5603,0.0%,33m,1289,1136
1,16:30,43:05,5605,0.5%,33m,1292,1139
1,16:32,43:05,5606,0.0%,33m,1294,1141
1,16:33,43:05,5608,0.0%,33m,1297,1143
1,16:35,43:05,5610,0.0%,33m,1299,1145
1,16:37,43:05,5612,0.0%,33m,1302,1147
1,16:39,43:05,5614,0.0%,33m,1304,1149
1,16:41,43:05,5615,1.0%,33m,1307,1151
1,16:42,43:05,5617,0.0%,33m,1309,1153
1,16:44,43:05,5619,0.0%,33m,1312,1156
1,16:46,43:05,5621,0.5%,33m,1314,1157
1,16:48,43:05,5623,0.0%,33m,1317,1160
1,16:50,43:05,5624,0.0%,33m,1319,1162
1,16:52,43:05,5626,0.5%,33m,1322,1164
1,16:53,43:05,5628,0.0%,33m,1324,1166
1,16:55,43:05,5630,0.0%,33m,1327,1168
1,16:57,43:05,5632,0.0%,33m,1329,1170
1,16:59,43:05,5633,0.0%,33m,1332,1172
1,17:01,43:05,5635,0.0%,33m,1334,1174
1,17:02,43:05,5637,0.0%,33m,1337,1177
1,17:04,43:05,5639,0.0%,34m,1339,1178
1,17:06,43:05,5641,0.0%,34m,1342,1181
1,17:08,43:05,5642,0.5%,34m,1344,1183
1,17:09,43:05,5644,0.0%,34m,1347,1185
1,17:11,43:05,5646,0.0%,34m,1349,1187
1,17:13,43:05,5648,0.0%,34m,1352,1189
1,17:15,43:05,5649,0.0%,34m,1354,1191
1,17:16,43:05,5651,0.0%,34m,1357,1193
1,17:18,43:05,5653,0.0%,34m,1359,1195
1,17:20,43:05,5655,0.0%,34m,1362,1198
1,17:22,43:05,5657,0.0%,34m,1365,1200
1,17:24,43:05,5658,0.0%,34m,1367,1202
1,17:25,43:05,5660,0.0%,34m,1370,1204
1,17:27,43:05,5662,0.5%,34m,1372,1206
1,17:29,43:05,5664,0.0%,34m,1375,1208
1,17:31,43:05,5666,0.0%,34m,1377,1210
1,17:33,43:05,5667,0.0%,34m,1380,1213
1,17:34,43:05,5669,0.5%,34m,1382,1214
1,17:36,43:05,5671,0.0%,34m,1385,1217
1,17:38,43:05,5673,0.0%,34m,1387,1219
1,17:40,43:05,5675,0.0%,34m,1390,1221
1,17:42,43:05,5676,0.0%,34m,1392,1223
1,17:43,43:05,5678,0.0%,34m,1395,1225
1,17:45,43:05,5680,0.0%,34m,1397,1227
1,17:47,43:05,5682,0.0%,34m,1400,1229
1,17:49,43:05,5683,0.0%,34m,1402,1231
1,17:50,43:05,5685,0.0%,34m,1405,1234
1,17:52,43:05,5687,0.0%,34m,1407,1236
1,17:54,43:05,5689,0.0%,34m,1410,1238
1,17:56,43:05,5690,0.0%,34m,1412,1240
1,17:57,43:05,5692,0.0%,34m,1414,1242
1,17:59,43:05,5694,0.5%,34m,1417,1244
1,18:01,43:05,5696,0.0%,34m,1419,1246
1,18:03,43:05,5698,0.0%,34m,1422,1248
1,18:05,43:05,5699,0.0%,35m,1425,1251
1,18:06,43:05,5701,0.0%,35m,1427,1252
1,18:08,43:05,5703,0.0%,35m,1430,1255
1,18:10,43:05,5705,0.0%,35m,1432,1257
1,18:12,43:05,5707,0.0%,35m,1435,1259
1,18:14,43:05,5708,0.0%,35m,1437,1261
1,18:16,43:05,5710,0.0%,35m,1440,1263
1,18:17,43:05,5712,0.0%,35m,1442,1265
1,18:19,43:05,5714,0.0%,35m,1445,1267
1,18:21,43:05,5716,0.0%,35m,1447,1269
