ctime,status,cpu,memoria
16:10,OK,0.0%,0.6% 
16:12,OK,0.0%,0.7% 
16:14,OK,0.0%,0.7% 
16:16,OK,0.0%,0.7% 
16:17,OK,0.0%,0.7% 
16:19,OK,0.0%,0.7% 
16:21,OK,0.0%,0.7% 
16:23,OK,0.5%,0.7% 
16:25,OK,0.0%,0.7% 
16:26,OK,0.0%,0.7% 
16:28,OK,0.0%,0.7% 
16:30,OK,0.5%,0.7% 
16:32,OK,0.0%,0.7% 
16:33,OK,0.0%,0.7% 
16:35,OK,0.0%,0.7% 
16:37,OK,0.0%,0.7% 
16:39,OK,0.0%,0.7% 
16:41,OK,1.0%,0.7% 
16:42,OK,0.0%,0.7% 
16:44,OK,0.0%,0.7% 
16:46,OK,0.5%,0.7% 
16:48,OK,0.0%,0.7% 
16:50,OK,0.0%,0.7% 
16:52,OK,0.5%,0.7% 
16:53,OK,0.0%,0.7% 
16:55,OK,0.0%,0.7% 
16:57,OK,0.0%,0.7% 
16:59,OK,0.0%,0.7% 
17:01,OK,0.0%,0.7% 
17:02,OK,0.0%,0.7% 
17:04,OK,0.0%,0.7% 
17:06,OK,0.0%,0.7% 
17:08,OK,0.5%,0.7% 
17:09,OK,0.0%,0.7% 
17:11,OK,0.0%,0.7% 
17:13,OK,0.0%,0.7% 
17:15,OK,0.0%,0.7% 
17:16,OK,0.0%,0.7% 
17:18,OK,0.0%,0.7% 
17:20,OK,0.0%,0.7% 
17:22,OK,0.0%,0.7% 
17:24,OK,0.0%,0.7% 
17:25,OK,0.0%,0.7% 
17:27,OK,0.5%,0.7% 
17:29,OK,0.0%,0.7% 
17:31,OK,0.0%,0.7% 
17:33,OK,0.0%,0.7% 
17:34,OK,0.5%,0.7% 
17:36,OK,0.0%,0.7% 
17:38,OK,0.0%,0.7% 
17:40,OK,0.0%,0.7% 
17:42,OK,0.0%,0.7% 
17:43,OK,0.0%,0.7% 
17:45,OK,0.0%,0.7% 
17:47,OK,0.0%,0.0% 
17:49,OK,0.0%,0.7% 
17:50,OK,0.0%,0.7% 
17:52,OK,0.0%,0.7% 
17:54,OK,0.0%,0.7% 
17:56,OK,0.0%,0.7% 
17:57,OK,0.0%,0.7% 
17:59,OK,0.5%,0.7% 
18:01,OK,0.0%,0.7% 
18:03,OK,0.0%,0.7% 
18:05,OK,0.0%,0.7% 
18:06,OK,0.0%,0.7% 
18:08,OK,0.0%,0.7% 
18:10,OK,0.0%,0.7% 
18:12,OK,0.0%,0.7% 
18:14,OK,0.0%,0.7% 
18:16,OK,0.0%,0.7% 
18:17,OK,0.0%,0.7% 
18:19,OK,0.0%,0.7% 
18:21,OK,0.0%,0.7% 
18:23,OK,0.0%,0.7% 
18:24,OK,0.0%,0.7% 
18:26,OK,0.0%,0.7% 
18:28,OK,0.0%,0.7% 
18:30,OK,0.0%,0.7% 
18:32,OK,0.0%,0.7% 
18:33,OK,0.5%,0.7% 
18:35,OK,0.0%,0.7% 
18:37,OK,0.0%,0.7% 
18:39,OK,0.0%,0.7% 
18:41,OK,0.0%,0.7% 
18:42,OK,0.0%,0.7% 
18:44,OK,0.0%,0.7% 
18:46,OK,0.0%,0.7% 
18:48,OK,0.0%,0.7% 
18:49,OK,0.0%,0.7% 
18:51,OK,0.0%,0.7% 
18:53,OK,0.0%,0.7% 
18:55,OK,0.0%,0.7% 
18:57,OK,0.0%,0.7% 
18:59,OK,0.0%,0.7% 
19:00,OK,0.5%,0.7% 
19:02,OK,0.0%,0.7% 
19:04,OK,0.5%,0.7% 
19:06,OK,0.0%,0.7% 
19:08,OK,0.0%,0.7% 
19:09,OK,0.0%,0.7% 
19:11,OK,0.0%,0.7% 
19:13,OK,0.0%,0.7% 
19:15,OK,0.0%,0.7% 
19:17,OK,0.0%,0.7% 
19:18,OK,0.0%,0.7% 
19:20,OK,0.0%,0.7% 
19:22,OK,0.0%,0.7% 
19:24,OK,0.0%,0.7% 
19:26,OK,0.0%,0.7% 
19:28,OK,0.0%,0.7% 
19:29,OK,0.0%,0.7% 
19:31,OK,0.5%,0.7% 
19:33,OK,0.0%,0.7% 
19:35,OK,0.0%,0.7% 
19:36,OK,0.0%,0.7% 
19:38,OK,0.0%,0.7% 
19:40,OK,0.0%,0.7% 
19:42,OK,0.4%,0.7% 
19:44,OK,0.0%,0.7% 
19:46,OK,0.0%,0.7% 
19:47,OK,0.0%,0.7% 
19:49,OK,0.0%,0.7% 
19:51,OK,0.0%,0.7% 
19:53,OK,0.5%,0.7% 
19:55,OK,0.0%,0.7% 
19:56,OK,0.0%,0.7% 
19:58,OK,0.0%,0.7% 
20:00,OK,0.0%,0.7% 
20:02,OK,0.0%,0.7% 
20:04,OK,0.0%,0.7% 
20:05,OK,0.0%,0.7% 
20:07,OK,0.0%,0.7% 
20:09,OK,0.0%,0.7% 
20:11,OK,0.0%,0.7% 
20:13,OK,0.0%,0.7% 
20:15,OK,0.0%,0.7% 
20:17,OK,0.0%,0.7% 
20:18,OK,0.0%,0.7% 
20:20,OK,0.5%,0.7% 
20:22,OK,0.0%,0.7% 
20:24,OK,0.5%,0.7% 
20:26,OK,0.0%,0.7% 
20:27,OK,0.5%,0.7% 
20:29,OK,0.0%,0.7% 
20:31,OK,0.0%,0.7% 
20:33,OK,0.0%,0.7% 
20:35,OK,0.5%,0.7% 
20:37,OK,0.0%,0.7% 
20:38,OK,0.0%,0.7% 
20:40,OK,0.0%,0.7% 
20:42,OK,0.0%,0.7% 
20:44,OK,0.0%,0.7% 
20:46,OK,0.0%,0.7% 
20:47,OK,0.0%,0.7% 
20:49,OK,0.0%,0.7% 
20:51,OK,0.0%,0.7% 
20:53,OK,0.0%,0.7% 
20:55,OK,0.0%,0.7% 
20:57,OK,0.5%,0.7% 
20:58,OK,1.0%,0.7% 
21:00,OK,0.5%,0.7% 
21:02,OK,0.0%,0.7% 
21:04,OK,0.0%,0.7% 
21:06,OK,0.0%,0.7% 
21:07,OK,0.0%,0.7% 
21:09,OK,0.0%,0.7% 
21:10,OK,0.0%,0.7% 
21:11,OK,0.0%,0.7% 
21:12,OK,0.0%,0.7% 
21:13,OK,0.0%,0.7% 
21:14,OK,0.0%,0.7% 
21:15,OK,0.5%,0.7% 
21:16,OK,0.0%,0.7% 
21:17,OK,0.0%,0.7% 
21:18,OK,0.0%,0.7% 
21:19,OK,0.0%,0.7% 
21:20,OK,0.0%,0.7% 
21:21,OK,0.0%,0.7% 
21:23,OK,0.0%,0.7% 
21:24,OK,0.0%,0.7% 
21:25,OK,0.0%,0.7% 
21:26,OK,0.0%,0.7% 
21:27,OK,0.5%,0.7% 
21:28,OK,0.0%,0.7% 
