
Memory		Disk		Swap		CPU
3.84%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
4.04%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.84%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.94%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		17%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
3.89%		18%		0.0248%		0.00%
3.94%		18%		0.0248%		0.00%
