"status","ctime","rtime","uptime","memoria","cpu","tacc","tkb"
1,13:25,43:05,9020,0.9%,0.0%,400045,338522
1,13:27,43:05,9022,0.9%,0.5%,400048,338525
1,13:29,43:05,9023,0.9%,0.0%,400052,338529
1,13:30,43:05,9025,0.9%,0.0%,400055,338532
1,13:32,43:05,9027,0.9%,0.0%,400059,338536
1,13:34,43:05,9029,0.9%,0.0%,400062,338539
1,13:36,43:05,9030,0.9%,0.0%,400066,338542
1,13:37,43:05,9032,0.0%,0.0%,400069,338545
1,13:39,43:05,9034,0.9%,0.5%,400073,338549
1,13:41,43:05,9036,0.9%,0.0%,400076,338552
1,13:43,43:05,9037,0.9%,0.0%,400080,338556
1,13:44,43:05,9039,0.9%,0.5%,400083,338559
1,13:46,43:05,9041,0.9%,0.0%,400087,338562
1,13:48,43:05,9043,0.9%,0.0%,400090,338566
1,13:50,43:05,9045,0.9%,0.0%,400094,338569
1,13:52,43:05,9047,0.9%,0.0%,400097,338572
1,13:54,43:05,9048,0.9%,0.0%,400101,338576
1,13:56,43:05,9050,0.9%,0.5%,400105,338580
1,13:57,43:05,9052,0.9%,0.0%,400109,338584
1,13:59,43:05,9054,0.9%,0.0%,400112,338586
1,14:01,43:05,9056,0.9%,0.0%,400116,338591
1,14:03,43:05,9057,0.9%,0.0%,400119,338593
1,14:04,43:05,9059,0.9%,0.5%,400122,338596
1,14:06,43:05,9061,0.9%,0.5%,400126,338600
1,14:08,43:05,9062,0.9%,0.0%,400129,338603
1,14:09,43:05,9064,0.9%,0.0%,400132,338606
1,14:11,43:05,9066,0.9%,0.0%,400136,338610
1,14:13,43:05,9068,0.9%,0.0%,400139,338613
1,14:15,43:05,9069,0.9%,0.0%,400143,338616
1,14:16,43:05,9071,0.9%,0.0%,400146,338619
1,14:18,43:05,9073,0.9%,0.0%,400150,338623
1,14:20,43:05,9075,0.9%,0.0%,400153,338626
1,14:22,43:05,9077,0.9%,1.0%,400157,338630
1,14:24,43:05,9078,0.9%,0.0%,400160,338633
1,14:25,43:05,9080,0.9%,0.5%,400164,338636
1,14:27,43:05,9082,0.9%,0.0%,400167,338639
1,14:29,43:05,9084,0.9%,0.0%,400171,338643
1,14:31,43:05,9085,0.9%,1.0%,400174,338646
1,14:32,43:05,9087,0.9%,0.0%,400178,338650
1,14:34,43:05,9089,0.9%,0.5%,400181,338653
1,14:36,43:05,9091,0.9%,0.5%,400185,338657
1,14:38,43:05,9092,0.9%,0.0%,400188,338660
1,14:39,43:05,9094,0.9%,0.0%,400192,338663
1,14:41,43:05,9096,0.9%,0.0%,400195,338666
1,14:43,43:05,9098,0.9%,0.0%,400199,338670
1,14:45,43:05,9100,0.9%,0.5%,400202,338673
1,14:47,43:05,9101,0.9%,0.0%,400206,338677
1,14:48,43:05,9103,0.9%,0.0%,400209,338680
1,14:50,43:05,9105,0.9%,0.0%,400213,338683
