"memory","disk","swap","cpu"
3.64%,13%,0.0248%,0.00%
3.74%,13%,0.0248%,0.00%
3.74%,13%,0.0248%,0.00%
3.74%,13%,0.0248%,0.00%
3.74%,13%,0.0248%,0.00%
3.74%,13%,0.0248%,0.00%
3.69%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.69%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.69%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.64%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
3.59%,13%,0.0248%,0.00%
