 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=1 ttl=62 time=0.342 ms
64 bytes from 192.168.42.65: icmp_seq=2 ttl=62 time=6.39 ms
64 bytes from 192.168.42.65: icmp_seq=3 ttl=62 time=5.22 ms
64 bytes from 192.168.42.65: icmp_seq=4 ttl=62 time=0.239 ms
64 bytes from 192.168.42.65: icmp_seq=5 ttl=62 time=0.688 ms
64 bytes from 192.168.42.65: icmp_seq=6 ttl=62 time=1.02 ms
64 bytes from 192.168.42.65: icmp_seq=7 ttl=62 time=0.965 ms
64 bytes from 192.168.42.65: icmp_seq=8 ttl=62 time=0.611 ms
64 bytes from 192.168.42.65: icmp_seq=9 ttl=62 time=0.820 ms
64 bytes from 192.168.42.65: icmp_seq=10 ttl=62 time=0.265 ms
64 bytes from 192.168.42.65: icmp_seq=11 ttl=62 time=0.733 ms
64 bytes from 192.168.42.65: icmp_seq=12 ttl=62 time=0.375 ms
64 bytes from 192.168.42.65: icmp_seq=13 ttl=62 time=0.730 ms
64 bytes from 192.168.42.65: icmp_seq=14 ttl=62 time=0.592 ms
64 bytes from 192.168.42.65: icmp_seq=15 ttl=62 time=0.291 ms
64 bytes from 192.168.42.65: icmp_seq=16 ttl=62 time=0.447 ms
64 bytes from 192.168.42.65: icmp_seq=17 ttl=62 time=0.456 ms
64 bytes from 192.168.42.65: icmp_seq=18 ttl=62 time=0.356 ms
64 bytes from 192.168.42.65: icmp_seq=19 ttl=62 time=0.289 ms
64 bytes from 192.168.42.65: icmp_seq=20 ttl=62 time=0.378 ms
64 bytes from 192.168.42.65: icmp_seq=21 ttl=62 time=0.519 ms
64 bytes from 192.168.42.65: icmp_seq=22 ttl=62 time=0.707 ms
64 bytes from 192.168.42.65: icmp_seq=23 ttl=62 time=0.348 ms
64 bytes from 192.168.42.65: icmp_seq=24 ttl=62 time=0.393 ms
64 bytes from 192.168.42.65: icmp_seq=25 ttl=62 time=0.750 ms
64 bytes from 192.168.42.65: icmp_seq=26 ttl=62 time=0.336 ms
64 bytes from 192.168.42.65: icmp_seq=27 ttl=62 time=0.315 ms
64 bytes from 192.168.42.65: icmp_seq=28 ttl=62 time=0.304 ms
64 bytes from 192.168.42.65: icmp_seq=29 ttl=62 time=0.440 ms
64 bytes from 192.168.42.65: icmp_seq=30 ttl=62 time=0.363 ms
64 bytes from 192.168.42.65: icmp_seq=31 ttl=62 time=0.605 ms
64 bytes from 192.168.42.65: icmp_seq=32 ttl=62 time=0.669 ms
64 bytes from 192.168.42.65: icmp_seq=33 ttl=62 time=0.561 ms
64 bytes from 192.168.42.65: icmp_seq=34 ttl=62 time=0.538 ms
64 bytes from 192.168.42.65: icmp_seq=35 ttl=62 time=0.454 ms
64 bytes from 192.168.42.65: icmp_seq=36 ttl=62 time=0.687 ms
64 bytes from 192.168.42.65: icmp_seq=37 ttl=62 time=0.310 ms
64 bytes from 192.168.42.65: icmp_seq=38 ttl=62 time=0.478 ms
64 bytes from 192.168.42.65: icmp_seq=39 ttl=62 time=0.425 ms
64 bytes from 192.168.42.65: icmp_seq=40 ttl=62 time=0.411 ms
64 bytes from 192.168.42.65: icmp_seq=41 ttl=62 time=0.584 ms
64 bytes from 192.168.42.65: icmp_seq=42 ttl=62 time=0.386 ms
64 bytes from 192.168.42.65: icmp_seq=43 ttl=62 time=0.382 ms
64 bytes from 192.168.42.65: icmp_seq=44 ttl=62 time=0.482 ms
64 bytes from 192.168.42.65: icmp_seq=45 ttl=62 time=0.624 ms
64 bytes from 192.168.42.65: icmp_seq=46 ttl=62 time=0.501 ms
64 bytes from 192.168.42.65: icmp_seq=47 ttl=62 time=0.310 ms
64 bytes from 192.168.42.65: icmp_seq=48 ttl=62 time=0.339 ms
64 bytes from 192.168.42.65: icmp_seq=49 ttl=62 time=0.736 ms
64 bytes from 192.168.42.65: icmp_seq=50 ttl=62 time=0.744 ms
64 bytes from 192.168.42.65: icmp_seq=51 ttl=62 time=0.547 ms
64 bytes from 192.168.42.65: icmp_seq=52 ttl=62 time=0.385 ms
64 bytes from 192.168.42.65: icmp_seq=53 ttl=62 time=0.621 ms
64 bytes from 192.168.42.65: icmp_seq=54 ttl=62 time=0.578 ms
64 bytes from 192.168.42.65: icmp_seq=55 ttl=62 time=0.578 ms
64 bytes from 192.168.42.65: icmp_seq=56 ttl=62 time=0.368 ms
64 bytes from 192.168.42.65: icmp_seq=57 ttl=62 time=0.315 ms
64 bytes from 192.168.42.65: icmp_seq=58 ttl=62 time=0.489 ms
64 bytes from 192.168.42.65: icmp_seq=59 ttl=62 time=0.679 ms
64 bytes from 192.168.42.65: icmp_seq=60 ttl=62 time=0.741 ms
64 bytes from 192.168.42.65: icmp_seq=61 ttl=62 time=0.440 ms
64 bytes from 192.168.42.65: icmp_seq=62 ttl=62 time=0.321 ms
64 bytes from 192.168.42.65: icmp_seq=63 ttl=62 time=0.770 ms
64 bytes from 192.168.42.65: icmp_seq=64 ttl=62 time=0.383 ms
64 bytes from 192.168.42.65: icmp_seq=65 ttl=62 time=0.312 ms
64 bytes from 192.168.42.65: icmp_seq=66 ttl=62 time=0.350 ms
64 bytes from 192.168.42.65: icmp_seq=67 ttl=62 time=0.370 ms
64 bytes from 192.168.42.65: icmp_seq=68 ttl=62 time=0.359 ms
64 bytes from 192.168.42.65: icmp_seq=69 ttl=62 time=0.344 ms
64 bytes from 192.168.42.65: icmp_seq=70 ttl=62 time=0.675 ms
64 bytes from 192.168.42.65: icmp_seq=71 ttl=62 time=0.539 ms
64 bytes from 192.168.42.65: icmp_seq=72 ttl=62 time=0.316 ms
64 bytes from 192.168.42.65: icmp_seq=73 ttl=62 time=0.366 ms
64 bytes from 192.168.42.65: icmp_seq=74 ttl=62 time=0.449 ms
64 bytes from 192.168.42.65: icmp_seq=75 ttl=62 time=0.339 ms
64 bytes from 192.168.42.65: icmp_seq=76 ttl=62 time=0.640 ms
64 bytes from 192.168.42.65: icmp_seq=77 ttl=62 time=0.574 ms
64 bytes from 192.168.42.65: icmp_seq=78 ttl=62 time=0.451 ms
64 bytes from 192.168.42.65: icmp_seq=79 ttl=62 time=0.697 ms
64 bytes from 192.168.42.65: icmp_seq=80 ttl=62 time=0.367 ms
64 bytes from 192.168.42.65: icmp_seq=81 ttl=62 time=0.426 ms
64 bytes from 192.168.42.65: icmp_seq=82 ttl=62 time=0.501 ms
64 bytes from 192.168.42.65: icmp_seq=83 ttl=62 time=0.661 ms
64 bytes from 192.168.42.65: icmp_seq=84 ttl=62 time=0.345 ms
64 bytes from 192.168.42.65: icmp_seq=85 ttl=62 time=0.551 ms
64 bytes from 192.168.42.65: icmp_seq=86 ttl=62 time=0.599 ms
64 bytes from 192.168.42.65: icmp_seq=87 ttl=62 time=0.404 ms
64 bytes from 192.168.42.65: icmp_seq=88 ttl=62 time=0.540 ms
64 bytes from 192.168.42.65: icmp_seq=89 ttl=62 time=0.423 ms
64 bytes from 192.168.42.65: icmp_seq=90 ttl=62 time=0.427 ms
64 bytes from 192.168.42.65: icmp_seq=91 ttl=62 time=0.477 ms
64 bytes from 192.168.42.65: icmp_seq=92 ttl=62 time=0.602 ms
64 bytes from 192.168.42.65: icmp_seq=93 ttl=62 time=0.609 ms
64 bytes from 192.168.42.65: icmp_seq=94 ttl=62 time=0.441 ms
64 bytes from 192.168.42.65: icmp_seq=95 ttl=62 time=0.516 ms
64 bytes from 192.168.42.65: icmp_seq=96 ttl=62 time=0.394 ms
64 bytes from 192.168.42.65: icmp_seq=97 ttl=62 time=0.299 ms
64 bytes from 192.168.42.65: icmp_seq=98 ttl=62 time=0.498 ms
64 bytes from 192.168.42.65: icmp_seq=99 ttl=62 time=0.825 ms
64 bytes from 192.168.42.65: icmp_seq=100 ttl=62 time=0.691 ms
64 bytes from 192.168.42.65: icmp_seq=101 ttl=62 time=0.436 ms
64 bytes from 192.168.42.65: icmp_seq=102 ttl=62 time=0.472 ms
64 bytes from 192.168.42.65: icmp_seq=103 ttl=62 time=0.427 ms
64 bytes from 192.168.42.65: icmp_seq=104 ttl=62 time=0.574 ms
64 bytes from 192.168.42.65: icmp_seq=105 ttl=62 time=0.378 ms
64 bytes from 192.168.42.65: icmp_seq=106 ttl=62 time=0.302 ms
64 bytes from 192.168.42.65: icmp_seq=107 ttl=62 time=0.421 ms
64 bytes from 192.168.42.65: icmp_seq=108 ttl=62 time=0.332 ms
64 bytes from 192.168.42.65: icmp_seq=109 ttl=62 time=0.632 ms
64 bytes from 192.168.42.65: icmp_seq=110 ttl=62 time=0.368 ms
64 bytes from 192.168.42.65: icmp_seq=111 ttl=62 time=0.343 ms
64 bytes from 192.168.42.65: icmp_seq=112 ttl=62 time=0.323 ms
64 bytes from 192.168.42.65: icmp_seq=113 ttl=62 time=0.641 ms
64 bytes from 192.168.42.65: icmp_seq=114 ttl=62 time=0.504 ms
64 bytes from 192.168.42.65: icmp_seq=115 ttl=62 time=0.540 ms
64 bytes from 192.168.42.65: icmp_seq=116 ttl=62 time=0.363 ms
64 bytes from 192.168.42.65: icmp_seq=117 ttl=62 time=0.316 ms
64 bytes from 192.168.42.65: icmp_seq=118 ttl=62 time=0.558 ms
64 bytes from 192.168.42.65: icmp_seq=119 ttl=62 time=0.364 ms
64 bytes from 192.168.42.65: icmp_seq=120 ttl=62 time=0.429 ms
64 bytes from 192.168.42.65: icmp_seq=121 ttl=62 time=0.310 ms
64 bytes from 192.168.42.65: icmp_seq=122 ttl=62 time=0.336 ms
64 bytes from 192.168.42.65: icmp_seq=123 ttl=62 time=0.319 ms
64 bytes from 192.168.42.65: icmp_seq=124 ttl=62 time=0.733 ms
64 bytes from 192.168.42.65: icmp_seq=125 ttl=62 time=0.589 ms
64 bytes from 192.168.42.65: icmp_seq=126 ttl=62 time=0.447 ms
64 bytes from 192.168.42.65: icmp_seq=127 ttl=62 time=0.346 ms
64 bytes from 192.168.42.65: icmp_seq=128 ttl=62 time=0.383 ms
64 bytes from 192.168.42.65: icmp_seq=129 ttl=62 time=0.427 ms
64 bytes from 192.168.42.65: icmp_seq=130 ttl=62 time=0.360 ms
64 bytes from 192.168.42.65: icmp_seq=131 ttl=62 time=0.493 ms
64 bytes from 192.168.42.65: icmp_seq=132 ttl=62 time=0.308 ms
64 bytes from 192.168.42.65: icmp_seq=133 ttl=62 time=0.467 ms
64 bytes from 192.168.42.65: icmp_seq=134 ttl=62 time=0.380 ms
64 bytes from 192.168.42.65: icmp_seq=135 ttl=62 time=0.562 ms
64 bytes from 192.168.42.65: icmp_seq=136 ttl=62 time=1.19 ms
64 bytes from 192.168.42.65: icmp_seq=137 ttl=62 time=0.314 ms
