ctime,status,cpu,memoria
39:59,OK,0.0%,0.7% 
44:33,OK,0.0%,0.7% 
44:34,OK,0.5%,0.7% 
44:36,OK,0.0%,0.7% 
44:38,OK,0.0%,0.7% 
44:40,OK,0.0%,0.7% 
44:41,OK,0.0%,0.7% 
44:43,OK,0.0%,0.7% 
44:45,OK,0.0%,0.7% 
44:47,OK,0.0%,0.7% 
44:49,OK,0.0%,0.7% 
44:50,OK,0.0%,0.7%
44:52,OK,0.0%,0.7%
44:54,OK,0.5%,0.7%
44:56,OK,0.0%,0.7%
44:58,OK,0.0%,0.7%
44:59,OK,0.0%,0.7%
45:01,OK,0.0%,0.7%
45:03,OK,0.0%,0.7%
45:05,OK,0.0%,0.7%
45:07,OK,0.5%,0.7%
45:08,OK,0.0%,0.7%
45:10,OK,0.0%,0.7%
45:12,OK,0.0%,0.7%
45:14,OK,0.0%,0.7%
45:15,OK,0.0%,0.7%
45:17,OK,0.0%,0.7%
45:19,OK,0.0%,0.7%
45:21,OK,0.0%,0.7%
45:23,OK,0.0%,0.7%
45:24,OK,0.0%,0.7%
45:26,OK,0.5%,0.7%
45:28,OK,0.0%,0.7%
45:30,OK,0.0%,0.7%
45:31,OK,0.0%,0.7%
45:33,OK,0.0%,0.7%
45:35,OK,0.0%,0.7%
45:37,OK,0.0%,0.7%
45:39,OK,0.0%,0.7%
45:40,OK,0.0%,0.7%
45:42,OK,0.0%,0.7%
45:44,OK,0.5%,0.7%
45:46,OK,0.0%,0.7%
45:47,OK,0.0%,0.7%
45:49,OK,0.0%,0.7%
45:51,OK,0.0%,0.7%
45:53,OK,0.0%,0.7%
45:55,OK,0.0%,0.7%
45:56,OK,0.0%,0.7%
45:58,OK,0.5%,0.7%
46:00,OK,0.0%,0.7%
46:02,OK,0.0%,0.7%
46:04,OK,0.0%,0.7%
46:05,OK,0.0%,0.7%
46:07,OK,0.0%,0.7%
46:09,OK,0.0%,0.7%
46:11,OK,0.0%,0.7%
46:13,OK,0.5%,0.7%
46:14,OK,0.0%,0.0%
46:16,OK,0.0%,0.7%
46:18,OK,0.0%,0.7%
46:20,OK,0.0%,0.7%
46:22,OK,0.0%,0.7%
46:24,OK,0.5%,0.7%
46:25,OK,0.5%,0.7%
46:27,OK,0.5%,0.7%
