 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=1 ttl=62 time=0.280 ms
64 bytes from 192.168.42.65: icmp_seq=4 ttl=62 time=89.2 ms
64 bytes from 192.168.42.65: icmp_seq=6 ttl=62 time=89.6 ms
64 bytes from 192.168.42.65: icmp_seq=7 ttl=62 time=90.9 ms
64 bytes from 192.168.42.65: icmp_seq=8 ttl=62 time=90.1 ms
64 bytes from 192.168.42.65: icmp_seq=9 ttl=62 time=87.4 ms
64 bytes from 192.168.42.65: icmp_seq=10 ttl=62 time=89.0 ms
64 bytes from 192.168.42.65: icmp_seq=11 ttl=62 time=88.8 ms
64 bytes from 192.168.42.65: icmp_seq=12 ttl=62 time=88.0 ms
64 bytes from 192.168.42.65: icmp_seq=13 ttl=62 time=1.72 ms
64 bytes from 192.168.42.65: icmp_seq=14 ttl=62 time=1.73 ms
64 bytes from 192.168.42.65: icmp_seq=15 ttl=62 time=5.80 ms
64 bytes from 192.168.42.65: icmp_seq=16 ttl=62 time=4.96 ms
64 bytes from 192.168.42.65: icmp_seq=17 ttl=62 time=4.14 ms
64 bytes from 192.168.42.65: icmp_seq=18 ttl=62 time=2.49 ms
64 bytes from 192.168.42.65: icmp_seq=19 ttl=62 time=0.332 ms
64 bytes from 192.168.42.65: icmp_seq=20 ttl=62 time=15.9 ms
64 bytes from 192.168.42.65: icmp_seq=21 ttl=62 time=6.20 ms
64 bytes from 192.168.42.65: icmp_seq=22 ttl=62 time=0.411 ms
64 bytes from 192.168.42.65: icmp_seq=23 ttl=62 time=0.459 ms
64 bytes from 192.168.42.65: icmp_seq=24 ttl=62 time=1.88 ms
64 bytes from 192.168.42.65: icmp_seq=25 ttl=62 time=5.43 ms
64 bytes from 192.168.42.65: icmp_seq=26 ttl=62 time=10.2 ms
64 bytes from 192.168.42.65: icmp_seq=27 ttl=62 time=75.2 ms
64 bytes from 192.168.42.65: icmp_seq=28 ttl=62 time=84.8 ms
64 bytes from 192.168.42.65: icmp_seq=29 ttl=62 time=86.0 ms
64 bytes from 192.168.42.65: icmp_seq=30 ttl=62 time=88.1 ms
64 bytes from 192.168.42.65: icmp_seq=31 ttl=62 time=83.9 ms
64 bytes from 192.168.42.65: icmp_seq=32 ttl=62 time=13.1 ms
64 bytes from 192.168.42.65: icmp_seq=33 ttl=62 time=88.7 ms
64 bytes from 192.168.42.65: icmp_seq=34 ttl=62 time=89.9 ms
64 bytes from 192.168.42.65: icmp_seq=35 ttl=62 time=21.5 ms
64 bytes from 192.168.42.65: icmp_seq=36 ttl=62 time=3.85 ms
64 bytes from 192.168.42.65: icmp_seq=37 ttl=62 time=5.29 ms
64 bytes from 192.168.42.65: icmp_seq=38 ttl=62 time=7.85 ms
64 bytes from 192.168.42.65: icmp_seq=39 ttl=62 time=86.1 ms
64 bytes from 192.168.42.65: icmp_seq=40 ttl=62 time=85.9 ms
64 bytes from 192.168.42.65: icmp_seq=41 ttl=62 time=90.9 ms
64 bytes from 192.168.42.65: icmp_seq=42 ttl=62 time=88.3 ms
64 bytes from 192.168.42.65: icmp_seq=43 ttl=62 time=88.9 ms
64 bytes from 192.168.42.65: icmp_seq=44 ttl=62 time=85.6 ms
64 bytes from 192.168.42.65: icmp_seq=45 ttl=62 time=87.0 ms
64 bytes from 192.168.42.65: icmp_seq=46 ttl=62 time=87.9 ms
64 bytes from 192.168.42.65: icmp_seq=47 ttl=62 time=86.2 ms
64 bytes from 192.168.42.65: icmp_seq=48 ttl=62 time=84.7 ms
64 bytes from 192.168.42.65: icmp_seq=50 ttl=62 time=88.5 ms
64 bytes from 192.168.42.65: icmp_seq=51 ttl=62 time=86.2 ms
64 bytes from 192.168.42.65: icmp_seq=52 ttl=62 time=89.4 ms
64 bytes from 192.168.42.65: icmp_seq=53 ttl=62 time=87.0 ms
64 bytes from 192.168.42.65: icmp_seq=54 ttl=62 time=90.0 ms
64 bytes from 192.168.42.65: icmp_seq=55 ttl=62 time=88.6 ms
64 bytes from 192.168.42.65: icmp_seq=56 ttl=62 time=89.3 ms
64 bytes from 192.168.42.65: icmp_seq=57 ttl=62 time=89.1 ms
64 bytes from 192.168.42.65: icmp_seq=58 ttl=62 time=85.7 ms
64 bytes from 192.168.42.65: icmp_seq=59 ttl=62 time=88.0 ms
64 bytes from 192.168.42.65: icmp_seq=60 ttl=62 time=87.2 ms
64 bytes from 192.168.42.65: icmp_seq=61 ttl=62 time=88.3 ms
64 bytes from 192.168.42.65: icmp_seq=62 ttl=62 time=87.2 ms
64 bytes from 192.168.42.65: icmp_seq=64 ttl=62 time=79.8 ms
64 bytes from 192.168.42.65: icmp_seq=65 ttl=62 time=89.6 ms
64 bytes from 192.168.42.65: icmp_seq=67 ttl=62 time=1.77 ms
64 bytes from 192.168.42.65: icmp_seq=68 ttl=62 time=38.7 ms
64 bytes from 192.168.42.65: icmp_seq=69 ttl=62 time=10.1 ms
64 bytes from 192.168.42.65: icmp_seq=70 ttl=62 time=16.6 ms
64 bytes from 192.168.42.65: icmp_seq=71 ttl=62 time=50.4 ms
64 bytes from 192.168.42.65: icmp_seq=72 ttl=62 time=0.467 ms
64 bytes from 192.168.42.65: icmp_seq=75 ttl=62 time=86.4 ms
64 bytes from 192.168.42.65: icmp_seq=76 ttl=62 time=88.4 ms
64 bytes from 192.168.42.65: icmp_seq=77 ttl=62 time=62.7 ms
64 bytes from 192.168.42.65: icmp_seq=78 ttl=62 time=48.0 ms
64 bytes from 192.168.42.65: icmp_seq=79 ttl=62 time=79.3 ms
64 bytes from 192.168.42.65: icmp_seq=80 ttl=62 time=86.9 ms
64 bytes from 192.168.42.65: icmp_seq=81 ttl=62 time=87.0 ms
64 bytes from 192.168.42.65: icmp_seq=82 ttl=62 time=81.9 ms
64 bytes from 192.168.42.65: icmp_seq=83 ttl=62 time=85.5 ms
64 bytes from 192.168.42.65: icmp_seq=84 ttl=62 time=89.1 ms
64 bytes from 192.168.42.65: icmp_seq=85 ttl=62 time=88.2 ms
64 bytes from 192.168.42.65: icmp_seq=87 ttl=62 time=89.1 ms
64 bytes from 192.168.42.65: icmp_seq=88 ttl=62 time=87.0 ms
64 bytes from 192.168.42.65: icmp_seq=89 ttl=62 time=62.7 ms
64 bytes from 192.168.42.65: icmp_seq=90 ttl=62 time=90.1 ms
64 bytes from 192.168.42.65: icmp_seq=91 ttl=62 time=88.8 ms
