
Memory		Disk		Swap		CPU
3.79%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.74%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.94%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.94%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.94%		15%		0.0248%		0.00%
3.94%		15%		0.0248%		0.00%
3.89%		15%		0.0248%		0.00%
3.94%		15%		0.0248%		1.00%
3.89%		15%		0.0248%		1.00%
3.89%		15%		0.0248%		1.00%
3.89%		15%		0.0248%		1.00%
3.89%		15%		0.0248%		1.00%
3.89%		15%		0.0248%		1.00%
3.89%		15%		0.0248%		1.00%
3.94%		15%		0.0248%		1.00%
3.94%		15%		0.0248%		1.00%
3.94%		15%		0.0248%		1.00%
3.94%		15%		0.0248%		1.00%
3.89%		15%		0.0248%		1.00%
3.94%		15%		0.0248%		1.00%
3.89%		15%		0.0248%		1.00%
3.89%		15%		0.0248%		1.00%
3.89%		15%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.94%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
3.89%		16%		0.0248%		1.00%
