"status","ctime","rtime","uptime","memoria","cpu","tacc","tkb"
1,32:39,43:05,10174,1.1%,0.0%,970253,821002
1,32:41,43:05,10176,1.1%,0.0%,970256,821005
1,32:43,43:05,10178,1.1%,0.0%,970259,821008
1,32:45,43:05,10180,1.1%,0.0%,970263,821012
1,32:47,43:05,10182,1.1%,0.0%,970268,821017
1,32:49,43:05,10184,1.1%,0.0%,970270,821018
1,32:51,43:05,10186,1.1%,0.5%,970274,821022
1,32:52,43:05,10187,1.1%,0.0%,970277,821025
1,32:54,43:05,10189,1.1%,1.0%,970280,821028
1,32:56,43:05,10191,1.1%,0.0%,970284,821032
1,32:58,43:05,10193,1.1%,0.0%,970288,821035
1,33:00,43:05,10195,1.1%,0.0%,970291,821039
1,33:02,43:05,10197,1.1%,0.5%,970295,821042
1,33:04,43:05,10199,1.1%,0.0%,970298,821045
1,33:05,43:05,10200,1.1%,0.0%,970302,821049
1,33:08,43:05,10203,1.1%,0.0%,970305,821052
1,33:10,43:05,10205,1.1%,0.0%,970309,821056
1,33:12,43:05,10207,1.1%,1.0%,970313,821059
1,33:14,43:05,10208,1.1%,0.0%,970316,821062
1,33:16,43:05,10210,1.1%,0.0%,970320,821066
1,33:18,43:05,10212,1.1%,0.0%,970323,821069
1,33:20,43:05,10214,1.1%,0.0%,970327,821073
1,33:22,43:05,10217,1.1%,0.0%,970331,821076
1,33:24,43:05,10219,1.1%,0.0%,970334,821079
1,33:26,43:05,10220,1.1%,0.0%,970338,821083
1,33:27,43:05,10222,1.1%,0.0%,970341,821086
1,33:29,43:05,10224,1.1%,0.0%,970345,821090
1,33:31,43:05,10226,1.1%,0.5%,970348,821093
1,33:34,43:05,10228,1.1%,0.0%,970352,821097
1,33:36,43:05,10230,1.1%,0.0%,970356,821100
1,33:37,43:05,10232,1.1%,0.0%,970359,821103
1,33:39,43:05,10234,1.1%,0.0%,970362,821106
1,33:41,43:05,10236,1.1%,0.3%,970366,821110
1,33:43,43:05,10238,1.1%,0.5%,970370,821114
1,33:45,43:05,10240,1.1%,0.0%,970373,821117
1,33:47,43:05,10242,1.1%,0.0%,970378,821122
1,33:49,43:05,10244,1.1%,1.0%,970381,821125
1,33:51,43:05,10246,1.1%,0.0%,970384,821127
1,33:53,43:05,10247,1.1%,0.0%,970387,821130
