"memory","disk","swap","cpu"
3.74%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.89%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.69%,14%,0.0248%,0.00%
3.74%,14%,0.0248%,0.00%
3.74%,14%,0.0248%,0.00%
3.74%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.89%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.89%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.89%,14%,0.0248%,0.00%
3.89%,14%,0.0248%,0.00%
3.89%,14%,0.0248%,0.00%
3.89%,14%,0.0248%,0.00%
3.89%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.84%,14%,0.0248%,0.00%
3.89%,14%,0.0248%,0.00%
3.89%,14%,0.0248%,0.00%
3.89%,14%,0.0248%,0.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.84%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.84%,14%,0.0248%,1.00%
3.84%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.84%,14%,0.0248%,1.00%
3.84%,14%,0.0248%,1.00%
3.84%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.84%,14%,0.0248%,1.00%
3.84%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.74%,14%,0.0248%,1.00%
3.74%,14%,0.0248%,1.00%
3.84%,14%,0.0248%,1.00%
3.84%,14%,0.0248%,1.00%
3.84%,14%,0.0248%,1.00%
3.84%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.74%,14%,0.0248%,1.00%
3.74%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.74%,14%,0.0248%,1.00%
3.74%,14%,0.0248%,1.00%
3.74%,14%,0.0248%,1.00%
3.74%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.84%,14%,0.0248%,1.00%
3.84%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
3.89%,14%,0.0248%,1.00%
